key,publicationReady,abridged,headNote,endNote,textType,senderPlace,senderPlaceID,senderDate,senderDateFrom,senderDateTo,senderDateEarliest,senderDateLatest,senderDateEvidence,addressee,addresseeID,addresseeOrg,addresseePlace,addresseePlaceID,seeAlso,exclude,note
141a,,,,,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/1431,,
141b,,,,,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/1432,,
141c,,,,,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/1433,,
141d,,,,,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/1434,,
142,,,,,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/370,,
142a,,,,,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/1435,,
143,,,,,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/371,,
143a,,,,,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/1436,,
143b,,,,,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/1437,,
143c,,,,,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/1438,,
143d,,,,,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/1439,,
143e,,,,,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/1440,,
144,,,,,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/372,,
144a,,,,,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/1441,,
145,,,,,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/390,,
146,,,,,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/391,,
146a,,,,,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/1442,,
147,,,,,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/392,,
148,,,,,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/393,,
148a,,,,,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/1443,,
149,,,,,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/394,,
150,,,,,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/395,,
151,,,,,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/398,,
152,,,,,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/399,,
153,,,,,Draft,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/401,,
154,true,false,false,true,,Oxford,http://www.geonames.org/2640729,1954-09-25,,,,,,Naomi Mitchison,https://viaf.org/viaf/76330590/,,,,https://www.tolkienguide.com/guide/letters/402,,
155,true,,,,Draft,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/403,is a draft of 154,
156,,,,,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/404,,
157,,,,,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/405,,
158,,,,,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/406,,
